# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 415 Hz
# Recording started at: 2025-09-19 13:28:57.478
time;ωₓ (rad/s);ωᵧ (rad/s);ωᶻ (rad/s);ω_total (rad/s)
0,003693;-0,261;0,059;0,107;0,288
0,003952;-0,245;0,096;0,096;0,280
0,014289;-0,234;0,114;0,091;0,276
0,028966;-0,227;0,117;0,090;0,270
0,029513;-0,217;0,115;0,084;0,260
0,042850;-0,197;0,126;0,077;0,247
0,056778;-0,166;0,183;0,072;0,257
0,071381;-0,122;0,266;0,055;0,297
0,071984;-0,073;0,313;0,020;0,322
0,088384;-0,033;0,312;-0,018;0,314
0,088718;-0,003;0,279;-0,051;0,284
0,103281;0,015;0,233;-0,076;0,245
0,118021;0,024;0,191;-0,093;0,214
0,118336;0,027;0,157;-0,099;0,188
0,131970;0,026;0,112;-0,091;0,146
0,145456;0,021;0,063;-0,060;0,090
0,158788;0,025;0,035;0,025;0,050
0,171835;0,036;0,054;0,067;0,093
0,184800;0,049;0,112;0,111;0,165
0,185110;0,054;0,175;0,163;0,246
0,199719;0,037;0,169;0,229;0,287
0,214105;-0,003;0,090;0,303;0,316
0,214340;-0,068;-0,025;0,370;0,377
0,228554;-0,152;-0,144;0,426;0,475
0,241678;-0,243;-0,239;0,472;0,582
0,241960;-0,320;-0,286;0,518;0,672
0,255963;-0,372;-0,329;0,579;0,763
0,270707;-0,414;-0,409;0,670;0,887
0,270931;-0,469;-0,481;0,779;1,028
0,285451;-0,565;-0,458;0,900;1,157
0,300154;-0,703;-0,393;1,006;1,289
0,300423;-0,872;-0,406;1,061;1,432
0,313322;-1,073;-0,471;1,091;1,601
0,327264;-1,310;-0,476;1,094;1,772
0,327552;-1,547;-0,372;1,029;1,895
0,342535;-1,773;-0,157;0,855;1,975
0,357976;-1,978;0,065;0,565;2,058
0,358225;-2,083;0,080;0,195;2,093
0,372804;-2,086;-0,037;-0,126;2,090
0,385736;-2,059;-0,074;-0,274;2,079
0,399573;-2,102;0,453;-0,129;2,154
0,414159;-2,164;0,730;-0,066;2,285
0,414395;-2,245;0,936;-0,119;2,435
0,430384;-2,299;1,000;-0,252;2,520
0,443817;-2,322;1,026;-0,415;2,572
0,444086;-2,300;1,056;-0,610;2,603
0,458207;-2,217;1,029;-0,810;2,575
0,471748;-2,085;0,984;-0,996;2,512
0,472025;-1,919;0,983;-1,135;2,437
0,486196;-1,749;1,028;-1,201;2,358
0,498981;-1,583;1,136;-1,206;2,291
0,499302;-1,412;1,279;-1,176;2,238
0,512594;-1,221;1,386;-1,127;2,164
0,526275;-0,988;1,410;-1,082;2,034
0,539910;-0,678;1,257;-1,069;1,784
0,540171;-0,255;0,685;-1,105;1,325
0,552996;0,266;0,170;-1,110;1,154
0,566367;0,754;-0,378;-1,054;1,350
0,566620;1,199;-1,131;-0,975;1,915
0,580538;1,557;-2,124;-0,779;2,746
0,593785;1,727;-3,093;-0,373;3,562
0,608487;1,541;-1,689;0,045;2,287
0,608728;0,799;1,539;0,548;1,819
0,622491;0,224;3,150;1,153;3,362
0,637780;0,019;3,614;1,668;3,981
0,638045;-0,019;3,268;2,171;3,923
0,652366;0,135;2,372;2,686;3,586
0,665443;0,955;0,697;3,551;3,743
0,678328;1,529;0,284;3,847;4,149
0,692401;2,127;0,074;4,061;4,585
0,692729;2,703;-0,003;4,196;4,991
0,705685;3,225;-0,031;4,238;5,325
0,719271;3,531;-0,043;4,113;5,421
0,719617;3,481;0,307;3,793;5,158
0,734344;3,083;1,171;3,418;4,750
0,748924;2,479;1,845;3,169;4,426
0,749172;1,817;1,986;3,058;4,074
0,761825;1,116;1,691;2,976;3,600
0,775283;0,443;0,384;2,742;2,804
0,790258;0,085;0,144;2,310;2,316
0,790535;-0,011;0,582;1,715;1,811
0,804908;0,068;1,314;0,943;1,619
0,817311;0,197;1,950;0,078;1,962
0,817637;0,302;2,214;-0,832;2,385
0,831078;0,372;2,251;-1,730;2,864
0,845726;0,400;2,197;-2,512;3,362
0,860442;0,387;2,217;-3,374;4,055
0,872906;0,389;2,284;-3,515;4,210
0,873239;0,449;2,421;-3,597;4,359
0,886173;0,619;2,246;-3,653;4,333
0,900173;0,982;1,849;-3,730;4,278
0,913193;1,429;1,761;-3,821;4,443
0,913471;1,882;1,833;-3,881;4,686
0,926459;2,281;1,997;-3,873;4,919
0,940429;2,582;2,295;-3,796;5,133
0,940700;2,700;2,747;-3,701;5,342
0,953212;2,533;3,343;-3,638;5,552
0,966567;1,943;3,617;-3,625;5,477
0,980691;1,223;3,246;-3,710;5,079
0,980990;0,729;2,699;-3,926;4,820
0,993707;0,382;2,473;-4,141;4,838
1,007473;0,159;2,439;-4,225;4,881
1,007721;0,014;2,478;-4,148;4,832
1,021530;-0,067;2,559;-3,943;4,701
1,035836;-0,089;2,625;-3,660;4,504
1,048983;0,019;2,675;-3,089;4,086
1,062774;0,136;2,670;-2,903;3,947
1,077055;0,285;2,695;-2,806;3,900
1,090029;0,641;2,691;-2,788;3,928
1,104462;0,826;2,624;-2,812;3,933
1,119467;1,172;2,346;-2,743;3,795
1,133522;1,316;2,219;-2,644;3,695
1,133774;1,440;2,135;-2,518;3,602
1,147854;1,552;2,109;-2,390;3,546
1,160907;1,666;2,119;-2,273;3,526
1,161154;1,776;2,069;-2,171;3,486
1,174392;1,864;1,902;-2,088;3,384
1,188449;1,923;1,672;-2,029;3,257
1,188981;1,953;1,469;-1,981;3,146
1,200860;1,949;1,388;-1,942;3,082
1,215259;1,906;1,428;-1,906;3,051
1,229333;1,832;1,520;-1,883;3,035
1,229608;1,750;1,624;-1,877;3,037
1,243804;1,685;1,735;-1,893;3,072
1,256801;1,650;1,875;-1,936;3,160
1,257049;1,644;1,996;-1,991;3,263
1,270778;1,651;2,035;-2,035;3,318
1,285396;1,664;2,002;-2,065;3,323
1,299809;1,743;1,976;-2,053;3,340
1,312708;1,828;2,078;-1,993;3,410
1,326274;1,955;2,308;-1,914;3,580
1,326524;2,137;2,666;-1,842;3,882
1,340693;2,377;3,098;-1,798;4,298
1,353734;2,674;3,505;-1,788;4,757
1,353990;3,028;3,820;-1,794;5,194
1,367053;3,445;4,041;-1,788;5,603
1,381843;3,917;4,128;-1,744;5,952
1,382118;4,434;4,120;-1,635;6,270
1,396576;4,970;4,106;-1,462;6,610
1,409724;5,487;4,082;-1,275;6,957
1,409980;5,922;3,864;-1,060;7,150
1,423130;6,201;3,371;-0,775;7,100
1,437226;6,279;2,692;-0,434;6,845
1,451765;6,156;1,938;-0,102;6,454
1,452076;5,872;1,272;0,147;6,010
1,464494;5,458;0,786;0,246;5,520
1,477809;4,914;0,440;0,188;4,938
1,478124;4,241;0,228;0,057;4,248
1,492030;3,460;0,100;-0,087;3,463
1,505475;2,621;0,007;-0,246;2,633
1,518033;0,901;-0,046;-0,476;1,020
1,530825;0,080;0,046;-0,503;0,511
1,543377;-0,669;0,203;-0,455;0,834
1,543644;-1,320;0,356;-0,355;1,413
1,557035;-1,864;0,444;-0,245;1,932
1,570175;-2,304;0,444;-0,158;2,351
1,583131;-2,637;0,359;-0,109;2,664
1,583375;-2,796;-0,047;-0,096;2,798
1,597117;-2,764;-0,428;-0,099;2,799
1,610119;-2,712;-0,532;-0,081;2,765
1,610351;-2,647;-0,737;-0,002;2,748
1,623781;-2,560;-0,919;0,080;2,722
1,637699;-2,463;-1,000;0,128;2,661
1,651990;-2,354;-0,914;0,133;2,529
1,652249;-2,235;-0,669;0,102;2,335
1,665089;-2,103;-0,359;0,057;2,134
1,678280;-1,957;-0,063;0,018;1,958
1,678529;-1,788;0,181;-0,014;1,797
1,692766;-1,595;0,326;-0,054;1,629
1,705009;-1,381;0,360;-0,131;1,433
1,718994;-1,148;0,301;-0,257;1,214
1,719229;-0,896;0,227;-0,411;1,012
1,734319;-0,635;0,202;-0,553;0,866
1,748693;-0,089;0,247;-0,638;0,690
1,761209;0,187;0,245;-0,539;0,621
1,774509;0,454;0,174;-0,379;0,616
1,774799;0,698;0,023;-0,219;0,732
1,788727;0,908;-0,156;-0,101;0,927
1,801800;1,079;-0,296;-0,032;1,120
1,802088;1,203;-0,399;-0,007;1,267
1,814712;1,278;-0,465;0,006;1,360
1,828905;1,310;-0,500;0,040;1,403
1,842162;1,293;-0,548;0,128;1,410
1,842404;1,222;-0,622;0,259;1,396
1,854872;1,101;-0,710;0,384;1,366
1,868518;0,940;-0,775;0,469;1,305
1,881345;0,759;-0,768;0,498;1,189
1,881619;0,576;-0,686;0,470;1,011
1,894914;0,409;-0,535;0,400;0,783
1,909065;0,277;-0,362;0,316;0,555
1,909345;0,187;-0,239;0,260;0,400
1,921866;0,135;-0,212;0,257;0,360
1,934576;0,103;-0,312;0,305;0,448
1,949211;0,073;-0,555;0,378;0,676
1,949476;0,033;-0,855;0,441;0,962
1,963241;-0,022;-1,066;0,472;1,166
1,976720;-0,084;-1,110;0,472;1,209
1,977022;-0,140;-1,010;0,458;1,117
1,990228;-0,175;-0,827;0,437;0,951
2,004149;-0,182;-0,640;0,426;0,790
2,017220;-0,089;-0,415;0,353;0,552
2,030276;0,004;-0,388;0,259;0,466
2,045429;0,113;-0,423;0,153;0,464
2,045676;0,229;-0,500;0,052;0,553
2,057707;0,345;-0,564;-0,018;0,661
2,071309;0,452;-0,587;-0,022;0,742
2,071584;0,531;-0,620;0,046;0,817
2,085828;0,567;-0,701;0,162;0,916
2,100544;0,559;-0,813;0,307;1,033
2,100805;0,518;-0,910;0,458;1,143
2,113440;0,462;-0,973;0,588;1,228
2,127091;0,389;-1,021;0,711;1,303
2,141238;0,289;-1,077;0,850;1,402
2,141538;0,159;-1,139;1,005;1,528
2,154467;0,013;-1,173;1,179;1,663
2,168438;-0,149;-1,148;1,387;1,807
2,168737;-0,325;-1,071;1,640;1,986
2,182567;-0,511;-0,966;1,919;2,208
2,197451;-0,704;-0,858;2,190;2,455
2,197782;-0,891;-0,769;2,410;2,682
2,212013;-1,058;-0,682;2,546;2,840
2,224724;-1,186;-0,614;2,570;2,896
2,237612;-1,326;-0,646;2,323;2,752
2,252618;-1,352;-0,743;2,127;2,627
2,252902;-1,367;-0,859;1,916;2,506
2,265488;-1,384;-0,971;1,686;2,387
2,279155;-1,411;-1,066;1,433;2,276
2,293384;-1,449;-1,118;1,169;2,171
2,293651;-1,496;-1,114;0,896;2,069
2,307808;-1,545;-1,055;0,618;1,970
2,320650;-1,576;-0,939;0,349;1,867
2,320941;-1,573;-0,785;0,101;1,761
2,334780;-1,528;-0,624;-0,117;1,654
2,348954;-1,446;-0,492;-0,305;1,557
2,349268;-1,340;-0,403;-0,479;1,479
2,361320;-1,211;-0,352;-0,653;1,421
2,375299;-1,062;-0,302;-0,815;1,373
2,389571;-0,900;-0,235;-0,950;1,329
2,389880;-0,735;-0,164;-1,052;1,294
2,403774;-0,564;-0,087;-1,129;1,265
2,416161;-0,382;0,025;-1,192;1,252
2,430161;0,018;0,255;-1,256;1,282
2,444584;0,230;0,212;-1,253;1,291
2,444888;0,461;0,040;-1,261;1,343
2,458024;0,718;-0,153;-1,330;1,519
2,470928;1,002;-0,234;-1,478;1,801
2,483728;1,295;-0,180;-1,691;2,138
2,484048;1,578;-0,151;-1,851;2,437
2,496428;1,843;-0,155;-1,934;2,676
2,509633;2,070;-0,122;-1,967;2,858
2,524754;2,252;0,001;-1,960;2,986
2,525141;2,373;0,175;-1,905;3,048
2,537831;2,418;0,343;-1,806;3,038
2,551102;2,394;0,487;-1,685;2,968
2,551369;2,314;0,600;-1,568;2,859
2,564449;2,182;0,654;-1,470;2,712
2,577308;2,009;0,643;-1,396;2,529
2,590402;1,805;0,546;-1,330;2,307
2,590658;1,575;0,326;-1,254;2,040
2,604762;1,321;0,063;-1,149;1,752
2,617741;1,036;-0,117;-1,016;1,456
2,617992;0,720;-0,196;-0,847;1,129
2,631506;0,390;-0,206;-0,647;0,783
2,645929;0,065;-0,111;-0,427;0,446
2,659702;-0,551;0,372;0,009;0,665
2,672748;-0,819;0,719;0,194;1,107
2,686468;-1,034;1,142;0,334;1,576
2,686771;-1,169;1,613;0,427;2,037
2,700375;-1,208;2,091;0,489;2,464
2,713335;-1,153;2,511;0,540;2,815
2,713596;-1,017;2,798;0,573;3,032
2,726712;-0,805;2,949;0,584;3,112
2,740831;-0,522;2,996;0,575;3,095
2,741119;-0,180;2,977;0,558;3,034
2,753781;0,207;2,903;0,543;2,961
2,767110;0,604;2,730;0,549;2,849
2,781188;0,971;2,447;0,582;2,696
2,781509;1,305;2,140;0,618;2,582
2,794102;1,633;1,870;0,626;2,560
2,807868;1,956;1,624;0,599;2,613
2,808183;2,267;1,380;0,526;2,705
2,822367;2,543;1,094;0,409;2,798
2,836472;2,760;0,794;0,265;2,884
2,837148;2,907;0,517;0,118;2,955
2,849519;2,974;0,283;-0,008;2,988
2,862782;2,964;0,100;-0,099;2,968
2,877383;2,889;-0,007;-0,152;2,893
2,877688;2,749;-0,054;-0,168;2,755
2,890136;2,559;-0,047;-0,148;2,563
2,903527;2,339;0,032;-0,106;2,341
2,917403;1,879;0,311;0,013;1,905
2,931820;1,656;0,417;0,057;1,709
2,944965;1,449;0,465;0,072;1,524
2,945280;1,265;0,455;0,052;1,345
2,958759;1,110;0,414;0,006;1,184
2,973208;0,984;0,361;-0,048;1,049
2,973531;0,880;0,301;-0,093;0,935
2,986085;0,796;0,236;-0,118;0,838
2,999115;0,725;0,168;-0,121;0,754
2,999944;0,663;0,086;-0,118;0,679
3,012886;0,604;-0,021;-0,121;0,616
3,026204;0,548;-0,141;-0,136;0,582
3,039519;0,495;-0,260;-0,153;0,580
3,039771;0,444;-0,355;-0,174;0,594
3,053875;0,404;-0,403;-0,195;0,602
3,068440;0,373;-0,434;-0,223;0,614
3,068780;0,321;-0,504;-0,264;0,653
3,081552;0,245;-0,593;-0,365;0,738
3,094816;0,164;-0,637;-0,555;0,861
3,108663;0,071;-0,687;-0,785;1,046
3,109112;-0,044;-0,758;-1,013;1,266
3,122151;-0,177;-0,847;-1,214;1,491
3,134820;-0,326;-0,956;-1,377;1,708
3,147805;-0,565;-1,040;-1,578;1,973
3,159877;-0,657;-1,057;-1,586;2,016
3,173506;-0,740;-1,087;-1,514;2,005
3,173802;-0,835;-1,148;-1,359;1,965
3,187748;-0,950;-1,121;-1,178;1,883
3,201200;-1,070;-0,889;-1,027;1,729
3,201468;-1,163;-0,563;-0,878;1,562
3,215202;-1,216;-0,322;-0,733;1,456
3,230218;-1,236;-0,245;-0,624;1,406
3,230466;-1,227;-0,238;-0,576;1,376
3,245284;-1,194;-0,228;-0,572;1,344
3,260525;-1,148;-0,238;-0,571;1,304
3,260781;-1,097;-0,255;-0,566;1,260
3,273528;-1,054;-0,272;-0,571;1,229
3,287248;-1,027;-0,276;-0,580;1,211
3,287574;-1,007;-0,269;-0,581;1,194
3,301847;-1,006;-0,319;-0,569;1,199
3,316574;-1,031;-0,406;-0,547;1,235
3,316871;-1,028;-0,433;-0,515;1,229
3,329373;-0,974;-0,432;-0,476;1,167
3,342789;-0,884;-0,456;-0,443;1,089
3,357015;-0,784;-0,505;-0,417;1,022
3,357293;-0,679;-0,530;-0,402;0,950
3,370010;-0,571;-0,456;-0,393;0,830
3,383896;-0,449;-0,332;-0,391;0,682
3,397827;-0,078;-0,156;-0,413;0,449
3,412212;0,163;-0,196;-0,407;0,481
3,412459;0,346;-0,313;-0,402;0,616
3,425551;0,452;-0,283;-0,368;0,648
3,439387;0,496;-0,135;-0,333;0,613
3,454364;0,492;-0,009;-0,327;0,590
3,454601;0,459;0,067;-0,345;0,578
3,469005;0,401;0,117;-0,376;0,562
3,469266;0,334;0,194;-0,415;0,567
3,481287;0,294;0,293;-0,489;0,641
3,495004;0,301;0,355;-0,620;0,775
3,509057;0,356;0,384;-0,770;0,931
3,509364;0,435;0,401;-0,885;1,065
3,522222;0,507;0,425;-0,929;1,141
3,535483;0,560;0,475;-0,903;1,164
3,549664;0,599;0,553;-0,828;1,162
3,550015;0,639;0,625;-0,727;1,153
