# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 415 Hz
# Recording started at: 2025-09-19 13:23:26.682
time;ωₓ (rad/s);ωᵧ (rad/s);ωᶻ (rad/s);ω_total (rad/s)
0,004252;-0,249;0,239;0,122;0,366
0,005196;-0,215;0,234;0,090;0,330
0,014655;-0,185;0,183;0,047;0,264
0,024767;-0,163;0,098;0,011;0,191
0,034233;-0,136;0,018;-0,009;0,138
0,047370;-0,106;-0,031;-0,014;0,111
0,058130;-0,068;-0,045;-0,007;0,082
0,065882;-0,024;-0,034;0,001;0,041
0,075126;0,019;-0,012;0,003;0,022
0,082911;0,051;0,015;0,002;0,053
0,091715;0,068;0,036;-0,003;0,077
0,101183;0,069;0,049;-0,008;0,085
0,113619;0,051;0,054;-0,009;0,075
0,123659;0,029;0,058;-0,004;0,065
0,133260;0,008;0,069;0,006;0,070
0,141867;-0,007;0,091;0,014;0,092
0,149846;-0,018;0,108;0,020;0,111
0,169016;-0,044;0,115;0,022;0,125
0,183480;-0,046;0,124;0,025;0,135
0,192992;-0,042;0,131;0,030;0,141
0,201193;-0,033;0,133;0,039;0,142
0,209034;-0,017;0,120;0,053;0,133
0,217081;0,000;0,097;0,069;0,119
0,225499;0,018;0,065;0,086;0,110
0,239041;0,036;0,037;0,100;0,112
0,249422;0,048;0,019;0,111;0,122
0,258795;0,053;0,007;0,119;0,131
0,268208;0,049;-0,007;0,125;0,135
0,276040;0,038;-0,026;0,129;0,137
0,284255;0,015;-0,047;0,129;0,138
0,292839;-0,013;-0,064;0,127;0,143
0,305400;-0,039;-0,076;0,125;0,152
0,316396;-0,057;-0,080;0,127;0,160
0,324591;-0,066;-0,071;0,128;0,160
0,332411;-0,068;-0,053;0,125;0,152
0,340500;-0,063;-0,038;0,125;0,146
0,350538;-0,048;-0,029;0,127;0,139
0,359827;-0,024;-0,025;0,130;0,135
0,372336;0,002;-0,029;0,130;0,133
0,381641;0,021;-0,043;0,125;0,134
0,391233;0,025;-0,069;0,114;0,136
0,408163;0,005;-0,114;0,097;0,150
0,417512;-0,011;-0,125;0,092;0,156
0,426769;-0,028;-0,118;0,090;0,151
0,440094;-0,047;-0,097;0,090;0,141
0,450016;-0,068;-0,075;0,092;0,137
0,459106;-0,088;-0,062;0,097;0,145
0,466574;-0,103;-0,052;0,105;0,156
0,474808;-0,108;-0,041;0,111;0,160
0,484542;-0,102;-0,020;0,118;0,157
0,494184;-0,086;0,009;0,119;0,147
0,508248;-0,068;0,037;0,116;0,139
0,516433;-0,055;0,053;0,111;0,134
0,526021;-0,048;0,057;0,105;0,129
0,533857;-0,047;0,056;0,106;0,129
0,541826;-0,048;0,053;0,114;0,135
0,551497;-0,050;0,054;0,127;0,146
0,561031;-0,050;0,058;0,140;0,160
0,575026;-0,050;0,054;0,149;0,166
0,584968;-0,048;0,047;0,153;0,168
0,592808;-0,040;0,042;0,164;0,174
0,599950;-0,023;0,038;0,179;0,185
0,612675;-0,001;0,027;0,194;0,196
0,628287;0,033;-0,014;0,219;0,222
0,641003;0,038;-0,038;0,224;0,231
0,648921;0,033;-0,056;0,226;0,235
0,657378;0,025;-0,056;0,227;0,235
0,666471;0,022;-0,031;0,230;0,234
0,676177;0,029;0,010;0,234;0,236
0,686047;0,041;0,052;0,233;0,242
0,700802;0,052;0,081;0,224;0,244
0,708972;0,063;0,091;0,212;0,239
0,719056;0,075;0,082;0,196;0,226
0,726541;0,085;0,058;0,177;0,204
0,733973;0,086;0,026;0,153;0,178
0,743555;0,082;-0,003;0,125;0,150
0,752954;0,080;-0,016;0,101;0,130
0,762456;0,077;-0,016;0,079;0,112
0,774669;0,077;-0,007;0,064;0,101
0,783054;0,075;0,004;0,057;0,094
0,791075;0,068;0,010;0,053;0,087
0,800342;0,057;0,009;0,052;0,077
0,810122;0,047;0,005;0,052;0,070
0,829462;0,052;0,021;0,057;0,080
0,843531;0,060;0,026;0,057;0,087
0,855208;0,066;0,020;0,055;0,088
0,863581;0,073;0,005;0,056;0,092
0,871798;0,076;-0,013;0,052;0,093
0,878862;0,070;-0,032;0,039;0,086
0,887405;0,062;-0,047;0,022;0,080
0,896529;0,052;-0,049;0,002;0,072
0,909203;0,044;-0,038;-0,016;0,061
0,917915;0,041;-0,019;-0,030;0,054
0,926100;0,037;-0,007;-0,043;0,057
0,934776;0,035;-0,009;-0,052;0,063
0,944720;0,030;-0,023;-0,059;0,070
0,953634;0,026;-0,035;-0,063;0,076
0,968216;0,024;-0,048;-0,064;0,084
0,977794;0,026;-0,059;-0,065;0,092
0,985832;0,031;-0,069;-0,066;0,101
0,993214;0,037;-0,075;-0,069;0,108
1,001923;0,041;-0,076;-0,074;0,114
1,011527;0,040;-0,078;-0,082;0,120
1,026963;0,033;-0,078;-0,090;0,123
1,037712;0,029;-0,068;-0,097;0,122
1,047215;0,030;-0,048;-0,101;0,116
1,056142;0,038;-0,024;-0,103;0,113
1,063710;0,052;-0,005;-0,107;0,119
1,071195;0,065;-0,001;-0,117;0,134
1,079810;0,075;-0,004;-0,130;0,150
1,098735;0,082;-0,012;-0,156;0,176
1,111406;0,080;-0,012;-0,163;0,182
1,120954;0,073;-0,012;-0,165;0,181
