# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-09-19 13:30:30.698
time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,004205;0,1366;-0,0180;-0,2564;0,29
0,013431;0,0547;-0,0452;0,0312;0,08
0,023085;-0,0546;0,0130;0,3024;0,31
0,032273;-0,0629;0,0116;0,4882;0,49
0,041432;-0,0278;0,0069;0,5950;0,60
0,051940;-0,0166;0,0460;0,6527;0,65
0,060826;-0,0493;0,1194;0,6237;0,64
0,068514;-0,1223;0,1443;0,4849;0,52
0,078015;-0,1988;0,1711;0,2649;0,37
0,100595;-0,2266;0,2497;0,0805;0,35
0,107083;-0,1993;0,3059;0,0800;0,37
0,117567;-0,2101;0,3704;0,0280;0,43
0,127248;-0,2670;0,5147;-0,0753;0,58
0,136724;-0,3349;0,6538;-0,1306;0,75
0,146449;-0,4756;0,7263;-0,0916;0,87
0,155571;-0,6338;0,7215;0,2107;0,98
0,164563;-0,8104;0,6894;0,5476;1,20
0,171887;-0,9246;0,6724;0,6601;1,32
0,183019;-0,9699;0,6158;0,5274;1,26
0,190845;-0,9145;0,5799;0,3118;1,13
0,202533;-0,8643;0,6325;0,2301;1,10
0,212938;-0,7718;0,7076;0,2320;1,07
0,221528;-0,6764;0,7496;0,2919;1,05
0,230301;-0,7078;0,7349;0,4607;1,12
0,238718;-0,8066;0,6771;0,7049;1,27
0,252138;-0,8568;0,5636;0,9617;1,41
0,262153;-1,1151;0,1730;1,0699;1,56
0,271871;-1,4308;-0,2804;1,0356;1,79
0,281713;-1,5814;-0,5258;1,0415;1,97
0,291604;-1,7047;-0,5279;1,1320;2,11
0,301499;-1,8241;-0,4281;1,2509;2,25
0,310779;-1,9531;-0,3995;1,3654;2,42
0,320232;-2,0098;-0,4660;1,4664;2,53
0,329245;-2,2297;-0,5806;1,6117;2,81
0,338729;-2,4905;-0,6924;1,8693;3,19
0,348076;-2,6216;-0,8332;2,1837;3,51
0,363444;-2,4523;-1,2497;2,6523;3,82
0,381631;-2,1421;-1,4877;2,5903;3,68
0,402055;-1,8742;-1,6602;2,3761;3,45
0,413997;-2,1886;-1,6268;0,8716;2,86
0,425049;-2,3966;-1,4581;0,3760;2,83
0,434124;-2,4736;-1,3106;-0,0722;2,80
0,442957;-2,3289;-1,1707;-0,5065;2,66
0,459399;-1,8538;-1,1380;-1,4607;2,62
0,468706;-1,7430;-1,2267;-1,7102;2,73
0,483753;-1,7956;-1,1644;-1,7989;2,80
0,493070;-1,8025;-1,1132;-1,6850;2,71
0,501687;-2,0311;-0,9056;-1,5602;2,72
0,510421;-2,2862;-0,7801;-1,3866;2,79
0,519330;-2,3133;-0,7834;-1,1028;2,68
0,528166;-2,1354;-0,8421;-0,7675;2,42
0,537379;-1,9427;-1,0781;-0,3252;2,25
0,546195;-1,8926;-1,3667;-0,1244;2,34
0,555019;-1,9988;-1,8008;-0,1715;2,70
0,565029;-1,8245;-1,9759;-0,2748;2,70
0,573883;-1,5154;-1,8611;-0,4527;2,44
0,584966;-1,2126;-1,6076;-0,5839;2,10
0,597226;-1,1097;-1,4870;-0,6173;1,96
0,607058;-1,2134;-1,5570;-0,6284;2,07
0,616346;-1,3447;-1,6138;-0,5382;2,17
0,625769;-1,4431;-1,6362;-0,3291;2,21
0,635537;-1,5647;-1,5608;-0,1637;2,22
0,644886;-1,5508;-1,4008;-0,0747;2,09
0,654014;-1,5506;-1,2213;-0,0578;1,97
0,665907;-1,6342;-1,1658;-0,1686;2,01
0,676230;-1,6875;-1,2470;-0,3982;2,14
0,685105;-1,7417;-1,3758;-0,7253;2,34
0,693342;-1,8674;-1,5343;-1,1305;2,67
0,708183;-2,6047;-1,5767;-2,0299;3,66
0,717642;-2,6525;-1,5345;-2,2531;3,80
0,727683;-2,3942;-1,5509;-2,2919;3,66
0,743690;-1,9830;-1,5765;-2,2796;3,41
0,753276;-1,5732;-1,7020;-2,2596;3,24
0,762534;-1,2546;-2,0196;-2,0615;3,15
0,771952;-1,0306;-2,3888;-1,6889;3,10
0,781011;-0,8967;-2,7374;-1,2676;3,15
0,789772;-0,8097;-3,0745;-0,9091;3,31
0,796933;-0,7787;-3,3410;-0,6599;3,49
0,808073;-0,6927;-3,5433;-0,5884;3,66
0,814052;-0,5445;-3,7059;-0,6125;3,80
0,823934;-0,2830;-3,9387;-0,5550;3,99
0,832507;0,0284;-4,1269;-0,4638;4,15
0,842686;0,4956;-4,2276;-0,3522;4,27
0,852731;1,3258;-4,2171;-0,1041;4,42
0,872065;3,2651;-4,0931;0,3322;5,25
0,888598;4,1642;-4,1896;0,1199;5,91
0,890319;5,1370;-4,1677;0,1789;6,62
0,906056;5,7963;-4,1079;0,1394;7,11
0,917049;6,1831;-4,5164;0,6127;7,68
0,926876;6,3252;-5,0469;0,7618;8,13
0,935675;5,8157;-6,0543;0,7644;8,43
0,943888;5,6485;-6,5918;0,9481;8,73
0,953029;5,4687;-6,7198;1,0353;8,73
0,961804;5,8860;-6,9015;2,1005;9,31
0,970882;5,7576;-7,1711;3,0592;9,69
0,979498;5,2637;-7,2925;3,6415;9,70
0,989615;4,4687;-7,1992;4,0810;9,40
0,998913;3,4741;-7,1041;4,4817;9,09
1,008088;2,0781;-6,8392;4,7033;8,56
1,017234;0,6236;-6,4362;4,6577;7,97
1,026229;-0,2747;-5,9707;4,3742;7,41
1,034649;-0,9375;-5,4711;3,7211;6,68
1,043458;-1,6337;-5,1249;2,9986;6,16
1,052982;-1,9889;-5,1433;2,0325;5,88
1,071098;-1,9483;-4,7268;2,2961;5,60
1,072527;-1,9956;-4,2173;2,1171;5,12
1,085856;-1,0224;-3,8192;3,1436;5,05
1,095543;-0,7707;-3,7858;3,8782;5,47
1,106460;-0,6849;-3,4060;4,7366;5,87
1,116097;-0,8798;-3,4416;5,3721;6,44
1,125340;-1,4456;-3,4634;5,2976;6,49
1,134501;-2,1017;-3,4813;5,3425;6,71
1,143749;-2,6136;-3,0742;5,0131;6,44
1,158552;-3,2307;-1,8574;4,6043;5,92
1,168191;-3,4973;-1,2888;4,4202;5,78
1,179337;-3,3694;-1,0418;4,6103;5,80
1,189270;-3,4722;-1,0892;4,5216;5,80
1,198525;-3,5270;-1,3189;4,5495;5,91
1,207312;-3,5870;-1,4190;4,4135;5,86
1,216952;-3,7313;-1,0841;4,2060;5,73
1,226364;-4,0719;-0,6658;3,9552;5,72
1,235727;-4,2018;-0,1474;4,1933;5,94
1,245040;-4,2418;0,2805;4,3445;6,08
1,254631;-4,6184;0,3718;4,2430;6,28
1,268626;-5,1370;0,3614;3,8187;6,41
1,281009;-5,7419;0,5597;3,2707;6,63
1,290377;-6,0438;0,6148;2,8106;6,69
1,300452;-5,5696;0,5010;2,2354;6,02
1,309600;-4,3702;0,2186;1,7582;4,72
1,317328;-3,0272;-0,0558;1,3190;3,30
1,326655;-2,1399;-0,2379;0,9535;2,35
1,335846;-1,9859;-0,4140;0,7490;2,16
1,344603;-2,3586;-0,6222;0,5260;2,50
1,354486;-2,8595;-0,7283;0,1820;2,96
1,369566;-3,5328;-0,1568;-0,8102;3,63
1,386960;-3,7212;0,0844;-1,3143;3,95
1,388466;-3,7989;0,0819;-1,6588;4,15
1,400544;-3,6236;-0,0414;-1,8614;4,07
1,410471;-3,3497;-0,0438;-1,8728;3,84
1,420906;-3,1930;0,1754;-1,6018;3,58
1,429959;-3,5150;0,3650;-1,1216;3,71
1,439126;-4,1404;0,4825;-0,6727;4,22
1,448922;-5,4090;0,4079;-0,4535;5,44
1,458737;-6,6255;0,4273;-0,5390;6,66
1,468723;-7,4782;0,7977;-1,1593;7,61
1,478094;-7,5260;1,5285;-2,2060;7,99
1,486851;-6,8574;1,9021;-3,7431;8,04
1,496642;-5,6975;1,6052;-5,7573;8,26
1,506344;-3,8303;0,9254;-7,2670;8,27
1,515051;-1,6524;0,1770;-8,0109;8,18
1,525213;0,1524;-0,1313;-7,7415;7,74
1,533817;1,5335;-0,0200;-6,9965;7,16
1,543885;1,9288;0,0719;-5,5129;5,84
1,552624;1,5353;-0,0734;-3,8048;4,10
1,570739;0,0776;-0,6595;-1,1425;1,32
1,586694;-0,2329;-0,8804;-0,1099;0,92
1,599705;-0,2581;-0,8512;0,5598;1,05
1,599886;-0,1230;-0,7113;0,6904;1,00
1,610299;0,0759;-0,7407;0,3390;0,82
1,619605;0,2466;-1,0314;-0,2489;1,09
1,628323;0,4119;-1,3935;-0,9130;1,72
1,637902;0,5004;-1,4349;-1,4241;2,08
1,647427;0,5981;-1,3767;-1,7120;2,28
1,656753;0,7719;-1,2993;-1,8947;2,42
1,669908;0,9253;-1,3677;-1,9915;2,59
1,677146;1,0195;-1,6085;-1,9404;2,72
1,686497;0,9349;-2,1293;-1,6515;2,85
1,695236;0,9146;-2,8604;-1,0475;3,18
1,704837;0,9482;-3,4029;-0,2005;3,54
1,716936;0,9446;-3,6186;0,7209;3,81
1,726691;0,9044;-3,5382;1,4501;3,93
1,735725;0,8568;-3,2692;1,7845;3,82
1,744809;0,6844;-2,9134;1,6637;3,42
1,753950;0,3898;-2,4820;1,0988;2,74
1,763112;0,3557;-2,1050;0,3280;2,16
1,773384;0,4857;-1,7237;-0,4119;1,84
1,783224;0,7021;-1,4937;-1,0609;1,96
1,793426;0,8229;-1,2843;-1,6157;2,22
1,802841;0,8956;-1,0990;-2,0616;2,50
1,812977;1,0154;-1,0083;-2,3370;2,74
1,823163;1,1433;-1,0199;-2,4057;2,85
1,833587;1,3171;-1,1178;-2,3088;2,88
1,843555;1,4741;-1,1145;-2,0927;2,79
1,853397;1,5190;-0,9766;-1,8228;2,57
1,863092;1,4712;-0,8479;-1,6266;2,35
1,873610;1,3839;-0,9059;-1,4620;2,21
1,883332;1,2472;-1,1484;-1,2604;2,11
1,893397;1,2799;-1,3623;-0,8603;2,06
1,902814;1,3805;-1,3588;-0,3316;1,97
1,913068;1,3382;-1,1794;0,0998;1,79
1,923261;1,2200;-0,9921;0,4106;1,63
1,933306;0,9789;-0,8615;0,5608;1,42
1,943238;0,6111;-0,7667;0,5302;1,11
1,954036;-0,0516;-0,4719;0,1812;0,51
1,964128;-0,2073;-0,2993;-0,1081;0,38
1,973835;-0,2778;-0,1883;-0,4403;0,55
1,983031;-0,3067;-0,1529;-0,8423;0,91
1,994073;-0,1854;-0,2666;-1,2746;1,32
2,005352;0,1087;-0,5555;-1,9725;2,05
2,015734;-0,1777;0,0081;-2,1263;2,13
2,027142;-0,4976;0,4402;-2,0523;2,16
2,037061;-0,5880;0,4160;-2,0955;2,22
2,046441;-0,7786;0,2702;-1,9658;2,13
2,056368;-0,9594;0,2327;-1,6044;1,88
2,066457;-0,9779;0,2511;-1,2441;1,60
2,076904;-0,9394;0,3728;-1,0154;1,43
2,086444;-1,1057;0,4386;-0,6430;1,35
2,095887;-1,1793;0,4992;-0,2206;1,30
2,106404;-1,1410;0,5688;0,0970;1,28
2,117184;-0,7872;0,5309;0,5432;1,09
2,126521;-0,4786;0,5217;0,6694;0,97
2,136188;-0,1718;0,4833;0,8465;0,99
2,145904;0,1551;0,5374;1,1426;1,27
2,156086;0,4903;0,5531;1,3363;1,53
2,165626;0,8884;0,4769;1,2738;1,62
2,174699;1,0614;0,3679;1,0849;1,56
2,185271;0,9055;0,3970;0,7830;1,26
2,195074;0,3381;0,6131;0,3704;0,79
2,205231;-0,4630;0,7948;-0,1675;0,93
2,215775;-1,4290;1,0159;-0,7276;1,90
2,226040;-2,2772;1,1936;-1,1991;2,84
2,236001;-2,7618;1,3491;-1,4794;3,41
