# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-09-19 13:20:24.851
time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,005878;0,0800;-0,0663;0,0336;0,11
0,024915;0,0553;-0,0172;0,4168;0,42
0,041711;-0,1242;0,1287;0,4147;0,45
0,042800;-0,2564;0,1097;0,2822;0,40
0,053129;-0,2247;0,0291;0,1288;0,26
0,066299;-0,1150;-0,0072;-0,0319;0,12
0,074640;-0,0349;-0,0089;-0,1435;0,15
0,081298;-0,0158;-0,0000;-0,1926;0,19
0,091750;-0,0285;0,0290;-0,2747;0,28
0,102478;-0,0258;0,0455;-0,3189;0,32
0,113711;-0,0364;0,1116;-0,3970;0,41
0,121393;-0,1321;0,0338;-0,4332;0,45
0,129227;-0,1498;0,0300;-0,3664;0,40
0,138312;-0,0720;0,1583;-0,1880;0,26
0,148787;-0,0461;0,0959;-0,0687;0,13
0,157927;-0,1094;-0,1030;-0,0449;0,16
0,171678;-0,0929;0,0243;0,0313;0,10
0,181659;-0,0382;0,0863;0,0790;0,12
0,189405;-0,0382;0,0792;0,1036;0,14
0,196729;-0,1032;0,0660;0,1428;0,19
0,215736;-0,3833;-0,0410;-0,0521;0,39
0,232354;-0,3607;0,1265;-0,1588;0,41
0,243863;-0,3427;0,2442;-0,1912;0,46
0,244603;-0,1227;-0,0103;-0,1092;0,16
0,254013;-0,1902;0,0135;-0,1027;0,22
0,267134;-0,4659;0,1045;0,0392;0,48
0,276442;-0,5432;0,1122;0,1797;0,58
0,285064;-0,5759;0,0699;0,2067;0,62
0,293447;-0,6434;0,0597;0,1825;0,67
0,304894;-0,4286;-0,1375;0,0854;0,46
0,315856;-0,2807;-0,0691;-0,3009;0,42
0,323895;-0,2756;0,1395;-0,4382;0,54
0,332204;-0,3863;0,3101;-0,5698;0,76
0,340042;-0,4914;0,3179;-0,6827;0,90
0,349442;-0,6580;0,2510;-0,6692;0,97
0,361298;-0,5790;0,2811;-0,4213;0,77
0,372605;-0,3556;0,2521;-0,1430;0,46
0,381446;-0,1650;0,0923;0,0153;0,19
0,389899;-0,0007;-0,0136;0,1785;0,18
0,398440;-0,0235;-0,0440;0,3093;0,31
0,406997;-0,5665;0,0649;0,2907;0,64
0,416654;-0,7679;0,1746;0,3416;0,86
0,432485;-0,7552;0,1775;0,4511;0,90
0,440464;-0,6882;0,1094;0,4766;0,84
0,447567;-0,5770;0,0479;0,4330;0,72
0,465101;-0,1426;-0,0987;0,2862;0,33
0,474740;0,0234;-0,1583;0,1733;0,24
0,483809;0,1025;-0,1985;0,0623;0,23
0,493321;0,1086;-0,2375;-0,0002;0,26
0,507335;0,0682;-0,2417;-0,0763;0,26
0,515103;0,1022;-0,2162;-0,1047;0,26
0,523206;0,1151;-0,2133;-0,1473;0,28
0,531654;0,1029;-0,1294;-0,2133;0,27
0,541262;0,0851;-0,0832;-0,2504;0,28
0,551134;0,0386;-0,0643;-0,2783;0,29
0,564751;0,0200;-0,0344;-0,2972;0,30
0,573763;0,0563;-0,0355;-0,2980;0,31
0,581334;0,1318;-0,0720;-0,2668;0,31
0,590220;0,2793;-0,0679;-0,2277;0,37
0,598777;0,4238;-0,0808;-0,1994;0,48
0,608521;0,5206;-0,1110;-0,1770;0,56
0,624956;0,5357;-0,1305;-0,1318;0,57
0,634870;0,5034;-0,1755;-0,0841;0,54
0,644231;0,4732;-0,1923;0,0543;0,51
0,653113;0,4528;-0,2010;0,2120;0,54
0,661308;0,4109;-0,1737;0,3991;0,60
0,668882;0,3973;-0,1541;0,5726;0,71
0,676409;0,3713;-0,1710;0,6613;0,78
0,695004;0,2516;-0,1327;0,7039;0,76
0,708505;0,1925;-0,1249;0,6531;0,69
0,716702;0,0988;-0,1098;0,5700;0,59
0,725907;0,0485;-0,1253;0,4831;0,50
0,733839;-0,0009;-0,1087;0,4353;0,45
0,742416;-0,0023;-0,0692;0,3880;0,39
0,757117;-0,0187;-0,0258;0,3746;0,38
0,764499;-0,0029;0,0074;0,3280;0,33
0,773460;0,0059;0,0301;0,2872;0,29
0,781775;0,0357;0,0238;0,2143;0,22
0,790491;0,0771;-0,0247;0,1286;0,15
0,799927;0,1360;-0,0296;-0,0171;0,14
0,809827;0,1525;-0,0710;-0,1373;0,22
0,825548;0,2229;-0,0866;-0,2045;0,31
0,836912;0,2475;-0,0573;-0,2386;0,35
0,845707;0,2742;-0,0448;-0,1886;0,34
0,853806;0,2497;-0,0444;-0,1404;0,29
0,861855;0,2479;-0,0237;-0,0560;0,26
